Card on the Table: ; Cards in Hand: ; Possible Move: ; Applicable rule: 
Yellow Reverse ; Green 3, Red 4, Red 1, Yellow 8, Yellow 9, Yellow 5, Red 6 ;Yellow 9;it is the same color as the tabled card
Yellow Reverse ; Green 3, Red 4, Red 1, Yellow 8, Yellow 9, Yellow 5, Red 6 ;Yellow 5;it is the same color as the tabled card
Blue 7 ; Green Draw 2, Red 9, Yellow 2, Green 2, Red Draw 2, Green 7, Yellow Draw 2 ;Green 7;it is the same type as the tabled card
Red 6 ; Green 3, Wild Normal, Blue 2, Blue 5, Yellow 3, Blue 6, Green 2 ;Wild Normal;Wild cards can be played on any colour
Red 6 ; Green 3, Wild Normal, Blue 2, Blue 5, Yellow 3, Blue 6, Green 2 ;Blue 6;it is the same type as the tabled card
Yellow 4 ; Yellow 5, Green 7, Red 6, Red 2, Blue 9, Yellow 1, Wild Draw 4 ;Yellow 5;it is the same color as the tabled card
Yellow 4 ; Yellow 5, Green 7, Red 6, Red 2, Blue 9, Yellow 1, Wild Draw 4 ;Yellow 1;it is the same color as the tabled card
Yellow 4 ; Yellow 5, Green 7, Red 6, Red 2, Blue 9, Yellow 1, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Wild Normal ; Wild Draw 4, Blue 9, Red 5, Blue 2, Red 1, Red 4, Blue 1 ;Wild Draw 4;Any card can be played on a Wild Normal
Wild Normal ; Wild Draw 4, Blue 9, Red 5, Blue 2, Red 1, Red 4, Blue 1 ;Blue 9;Any card can be played on a Wild Normal
Wild Normal ; Wild Draw 4, Blue 9, Red 5, Blue 2, Red 1, Red 4, Blue 1 ;Red 5;Any card can be played on a Wild Normal
Wild Normal ; Wild Draw 4, Blue 9, Red 5, Blue 2, Red 1, Red 4, Blue 1 ;Blue 2;Any card can be played on a Wild Normal
Wild Normal ; Wild Draw 4, Blue 9, Red 5, Blue 2, Red 1, Red 4, Blue 1 ;Red 1;Any card can be played on a Wild Normal
Wild Normal ; Wild Draw 4, Blue 9, Red 5, Blue 2, Red 1, Red 4, Blue 1 ;Red 4;Any card can be played on a Wild Normal
Wild Normal ; Wild Draw 4, Blue 9, Red 5, Blue 2, Red 1, Red 4, Blue 1 ;Blue 1;Any card can be played on a Wild Normal
Yellow 7 ; Blue 6, Wild Normal, Yellow 3, Wild Draw 4, Yellow Skip, Yellow 1, Green 6 ;Wild Normal;Wild cards can be played on any colour
Yellow 7 ; Blue 6, Wild Normal, Yellow 3, Wild Draw 4, Yellow Skip, Yellow 1, Green 6 ;Yellow 3;it is the same color as the tabled card
Yellow 7 ; Blue 6, Wild Normal, Yellow 3, Wild Draw 4, Yellow Skip, Yellow 1, Green 6 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 7 ; Blue 6, Wild Normal, Yellow 3, Wild Draw 4, Yellow Skip, Yellow 1, Green 6 ;Yellow Skip;it is the same color as the tabled card
Yellow 7 ; Blue 6, Wild Normal, Yellow 3, Wild Draw 4, Yellow Skip, Yellow 1, Green 6 ;Yellow 1;it is the same color as the tabled card
Blue 3 ; Blue 9, Yellow 0, Blue 3, Blue 7, Blue 6, Blue Draw 2, Blue 7 ;Blue 9;it is the same color as the tabled card
Blue 3 ; Blue 9, Yellow 0, Blue 3, Blue 7, Blue 6, Blue Draw 2, Blue 7 ;Blue 3;it is the same color as the tabled card
Blue 3 ; Blue 9, Yellow 0, Blue 3, Blue 7, Blue 6, Blue Draw 2, Blue 7 ;Blue 7;it is the same color as the tabled card
Blue 3 ; Blue 9, Yellow 0, Blue 3, Blue 7, Blue 6, Blue Draw 2, Blue 7 ;Blue 6;it is the same color as the tabled card
Blue 3 ; Blue 9, Yellow 0, Blue 3, Blue 7, Blue 6, Blue Draw 2, Blue 7 ;Blue Draw 2;it is the same color as the tabled card
Blue 3 ; Blue 9, Yellow 0, Blue 3, Blue 7, Blue 6, Blue Draw 2, Blue 7 ;Blue 7;it is the same color as the tabled card
Blue 1 ; Green 8, Yellow 8, Red 6, Wild Normal, Red Draw 2, Green 0, Green 3 ;Wild Normal;Wild cards can be played on any colour
Red 3 ; Red 8, Red 8, Blue 9, Green Reverse, Blue 9, Red 6, Blue 7 ;Red 8;it is the same color as the tabled card
Red 3 ; Red 8, Red 8, Blue 9, Green Reverse, Blue 9, Red 6, Blue 7 ;Red 8;it is the same color as the tabled card
Red 3 ; Red 8, Red 8, Blue 9, Green Reverse, Blue 9, Red 6, Blue 7 ;Red 6;it is the same color as the tabled card
Green 4 ; Blue 0, Green 5, Red 4, Blue 2, Green 4, Red 8, Blue 7 ;Green 5;it is the same color as the tabled card
Green 4 ; Blue 0, Green 5, Red 4, Blue 2, Green 4, Red 8, Blue 7 ;Red 4;it is the same type as the tabled card
Green 4 ; Blue 0, Green 5, Red 4, Blue 2, Green 4, Red 8, Blue 7 ;Green 4;it is the same color as the tabled card
Red 2 ; Green 8, Yellow 5, Blue Draw 2, Yellow Skip, Green Draw 2, Green Reverse, Red 4 ;Red 4;it is the same color as the tabled card
Yellow Skip ; Green Reverse, Wild Draw 4, Blue Draw 2, Blue 6, Red 7, Red 6, Red 7 ;Wild Draw 4;Wild cards can be played on any colour
Red 5 ; Blue 7, Blue 8, Blue 5, Blue Reverse, Red 9, Yellow 3, Blue 1 ;Blue 5;it is the same type as the tabled card
Red 5 ; Blue 7, Blue 8, Blue 5, Blue Reverse, Red 9, Yellow 3, Blue 1 ;Red 9;it is the same color as the tabled card
Red Skip ; Red 2, Blue 6, Green 1, Red 2, Green 7, Red 6, Green 2 ;Red 2;it is the same color as the tabled card
Red Skip ; Red 2, Blue 6, Green 1, Red 2, Green 7, Red 6, Green 2 ;Red 2;it is the same color as the tabled card
Red Skip ; Red 2, Blue 6, Green 1, Red 2, Green 7, Red 6, Green 2 ;Red 6;it is the same color as the tabled card
Green 4 ; Wild Draw 4, Red 2, Red 5, Green 9, Yellow 9, Yellow 8, Blue Draw 2 ;Wild Draw 4;Wild cards can be played on any colour
Green 4 ; Wild Draw 4, Red 2, Red 5, Green 9, Yellow 9, Yellow 8, Blue Draw 2 ;Green 9;it is the same color as the tabled card
Yellow 9 ; Blue 7, Green 8, Green 2, Blue 7, Red 8, Green 5, Green 2 ;Pick up 1 card;If there are no allowed moves you must pick up
Yellow 5 ; Green 3, Green 3, Yellow Reverse, Red 2, Red 3, Wild Normal, Yellow 7 ;Yellow Reverse;it is the same color as the tabled card
Yellow 5 ; Green 3, Green 3, Yellow Reverse, Red 2, Red 3, Wild Normal, Yellow 7 ;Wild Normal;Wild cards can be played on any colour
Yellow 5 ; Green 3, Green 3, Yellow Reverse, Red 2, Red 3, Wild Normal, Yellow 7 ;Yellow 7;it is the same color as the tabled card
Blue Draw 2 ; Red 1, Blue 8, Yellow 5, Blue 2, Green Draw 2, Red 2, Green 1 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Red 5 ; Green 4, Green Draw 2, Green 8, Yellow 5, Blue 6, Yellow Skip, Red 4 ;Yellow 5;it is the same type as the tabled card
Red 5 ; Green 4, Green Draw 2, Green 8, Yellow 5, Blue 6, Yellow Skip, Red 4 ;Red 4;it is the same color as the tabled card
Yellow 9 ; Blue 9, Yellow 1, Wild Draw 4, Red 4, Yellow 1, Green 0, Green 3 ;Blue 9;it is the same type as the tabled card
Yellow 9 ; Blue 9, Yellow 1, Wild Draw 4, Red 4, Yellow 1, Green 0, Green 3 ;Yellow 1;it is the same color as the tabled card
Yellow 9 ; Blue 9, Yellow 1, Wild Draw 4, Red 4, Yellow 1, Green 0, Green 3 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 9 ; Blue 9, Yellow 1, Wild Draw 4, Red 4, Yellow 1, Green 0, Green 3 ;Yellow 1;it is the same color as the tabled card
Blue 5 ; Yellow 0, Yellow 4, Green 7, Wild Draw 4, Yellow 4, Red 9, Yellow 9 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 4 ; Green 6, Green 1, Red 5, Red Reverse, Blue 5, Blue 2, Blue Draw 2 ;Pick up 1 card;If there are no allowed moves you must pick up
Green Reverse ; Yellow Reverse, Wild Draw 4, Red 2, Blue 4, Yellow Skip, Green 1, Red 1 ;Yellow Reverse;it is the same type as the tabled card
Green Reverse ; Yellow Reverse, Wild Draw 4, Red 2, Blue 4, Yellow Skip, Green 1, Red 1 ;Wild Draw 4;Wild cards can be played on any colour
Green Reverse ; Yellow Reverse, Wild Draw 4, Red 2, Blue 4, Yellow Skip, Green 1, Red 1 ;Green 1;it is the same color as the tabled card
Red Draw 2 ; Blue Skip, Red Skip, Blue 2, Yellow 8, Blue 1, Blue Reverse, Red Draw 2 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue Reverse ; Yellow 4, Green 5, Blue 8, Red 9, Yellow 6, Yellow 2, Green 1 ;Blue 8;it is the same color as the tabled card
Yellow 1 ; Blue Draw 2, Yellow 7, Blue 2, Green Draw 2, Yellow 4, Red 6, Red 7 ;Yellow 7;it is the same color as the tabled card
Yellow 1 ; Blue Draw 2, Yellow 7, Blue 2, Green Draw 2, Yellow 4, Red 6, Red 7 ;Yellow 4;it is the same color as the tabled card
Blue 8 ; Blue 5, Yellow Draw 2, Yellow Reverse, Blue 2, Red 7, Yellow Draw 2, Wild Normal ;Blue 5;it is the same color as the tabled card
Blue 8 ; Blue 5, Yellow Draw 2, Yellow Reverse, Blue 2, Red 7, Yellow Draw 2, Wild Normal ;Blue 2;it is the same color as the tabled card
Blue 8 ; Blue 5, Yellow Draw 2, Yellow Reverse, Blue 2, Red 7, Yellow Draw 2, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Yellow 1 ; Blue 6, Green 9, Red 7, Red Reverse, Green Draw 2, Green Skip, Red Skip ;Pick up 1 card;If there are no allowed moves you must pick up
Yellow 7 ; Yellow 1, Blue Draw 2, Green 7, Blue Skip, Wild Normal, Yellow 9, Red 1 ;Yellow 1;it is the same color as the tabled card
Yellow 7 ; Yellow 1, Blue Draw 2, Green 7, Blue Skip, Wild Normal, Yellow 9, Red 1 ;Green 7;it is the same type as the tabled card
Yellow 7 ; Yellow 1, Blue Draw 2, Green 7, Blue Skip, Wild Normal, Yellow 9, Red 1 ;Wild Normal;Wild cards can be played on any colour
Yellow 7 ; Yellow 1, Blue Draw 2, Green 7, Blue Skip, Wild Normal, Yellow 9, Red 1 ;Yellow 9;it is the same color as the tabled card
Yellow 4 ; Yellow 6, Red Reverse, Green 7, Green Skip, Wild Normal, Red 5, Blue Skip ;Yellow 6;it is the same color as the tabled card
Yellow 4 ; Yellow 6, Red Reverse, Green 7, Green Skip, Wild Normal, Red 5, Blue Skip ;Wild Normal;Wild cards can be played on any colour
Red 1 ; Yellow 7, Blue 0, Green 8, Yellow 9, Blue 5, Green 1, Blue 8 ;Green 1;it is the same type as the tabled card
Yellow 6 ; Yellow 5, Blue 9, Green 9, Yellow 1, Green 0, Blue 8, Green 4 ;Yellow 5;it is the same color as the tabled card
Yellow 6 ; Yellow 5, Blue 9, Green 9, Yellow 1, Green 0, Blue 8, Green 4 ;Yellow 1;it is the same color as the tabled card
Green Skip ; Yellow 5, Red 0, Wild Draw 4, Red 4, Blue 7, Blue Reverse, Blue 4 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 8 ; Green Reverse, Blue Skip, Blue 0, Green 2, Green 7, Blue 7, Green 2 ;Pick up 1 card;If there are no allowed moves you must pick up
Green 8 ; Wild Normal, Blue 6, Yellow 7, Green 5, Yellow 7, Red 2, Red Draw 2 ;Wild Normal;Wild cards can be played on any colour
Green 8 ; Wild Normal, Blue 6, Yellow 7, Green 5, Yellow 7, Red 2, Red Draw 2 ;Green 5;it is the same color as the tabled card
Yellow 6 ; Yellow 1, Blue Draw 2, Blue 4, Yellow 7, Red 6, Green 7, Green Skip ;Yellow 1;it is the same color as the tabled card
Yellow 6 ; Yellow 1, Blue Draw 2, Blue 4, Yellow 7, Red 6, Green 7, Green Skip ;Yellow 7;it is the same color as the tabled card
Yellow 6 ; Yellow 1, Blue Draw 2, Blue 4, Yellow 7, Red 6, Green 7, Green Skip ;Red 6;it is the same type as the tabled card
Blue 1 ; Yellow 5, Yellow Draw 2, Wild Draw 4, Red 1, Yellow 0, Yellow 3, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Blue 1 ; Yellow 5, Yellow Draw 2, Wild Draw 4, Red 1, Yellow 0, Yellow 3, Wild Draw 4 ;Red 1;it is the same type as the tabled card
Blue 1 ; Yellow 5, Yellow Draw 2, Wild Draw 4, Red 1, Yellow 0, Yellow 3, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Green 8 ; Wild Normal, Red 3, Red 5, Green 5, Red 0, Green 9, Blue 5 ;Wild Normal;Wild cards can be played on any colour
Green 8 ; Wild Normal, Red 3, Red 5, Green 5, Red 0, Green 9, Blue 5 ;Green 5;it is the same color as the tabled card
Green 8 ; Wild Normal, Red 3, Red 5, Green 5, Red 0, Green 9, Blue 5 ;Green 9;it is the same color as the tabled card
Yellow 1 ; Blue 6, Wild Normal, Green 4, Blue Skip, Wild Draw 4, Wild Draw 4, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Yellow 1 ; Blue 6, Wild Normal, Green 4, Blue Skip, Wild Draw 4, Wild Draw 4, Wild Normal ;Wild Draw 4;Wild cards can be played on any colour
Yellow 1 ; Blue 6, Wild Normal, Green 4, Blue Skip, Wild Draw 4, Wild Draw 4, Wild Normal ;Wild Draw 4;Wild cards can be played on any colour
Yellow 1 ; Blue 6, Wild Normal, Green 4, Blue Skip, Wild Draw 4, Wild Draw 4, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Blue 0 ; Wild Draw 4, Green 1, Green 2, Blue Skip, Yellow Reverse, Green 6, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Blue 0 ; Wild Draw 4, Green 1, Green 2, Blue Skip, Yellow Reverse, Green 6, Wild Draw 4 ;Blue Skip;it is the same color as the tabled card
Blue 0 ; Wild Draw 4, Green 1, Green 2, Blue Skip, Yellow Reverse, Green 6, Wild Draw 4 ;Wild Draw 4;Wild cards can be played on any colour
Blue 6 ; Blue 4, Red Draw 2, Blue 0, Green 7, Red Skip, Red 5, Red 7 ;Blue 4;it is the same color as the tabled card
Blue 6 ; Blue 4, Red Draw 2, Blue 0, Green 7, Red Skip, Red 5, Red 7 ;Blue 0;it is the same color as the tabled card
Green Skip ; Yellow 1, Yellow 7, Blue 2, Green 2, Green 7, Green 6, Red 9 ;Green 2;it is the same color as the tabled card
Green Skip ; Yellow 1, Yellow 7, Blue 2, Green 2, Green 7, Green 6, Red 9 ;Green 7;it is the same color as the tabled card
Green Skip ; Yellow 1, Yellow 7, Blue 2, Green 2, Green 7, Green 6, Red 9 ;Green 6;it is the same color as the tabled card
Blue 6 ; Green 3, Blue 4, Green 7, Yellow 1, Blue 6, Green 5, Green 8 ;Blue 4;it is the same color as the tabled card
Blue 6 ; Green 3, Blue 4, Green 7, Yellow 1, Blue 6, Green 5, Green 8 ;Blue 6;it is the same color as the tabled card
Blue 9 ; Red Reverse, Blue Reverse, Red 4, Blue Reverse, Green Draw 2, Red 0, Wild Normal ;Blue Reverse;it is the same color as the tabled card
Blue 9 ; Red Reverse, Blue Reverse, Red 4, Blue Reverse, Green Draw 2, Red 0, Wild Normal ;Blue Reverse;it is the same color as the tabled card
Blue 9 ; Red Reverse, Blue Reverse, Red 4, Blue Reverse, Green Draw 2, Red 0, Wild Normal ;Wild Normal;Wild cards can be played on any colour
Blue Reverse ; Green 8, Blue 5, Yellow 7, Blue 5, Green 3, Blue 7, Green 9 ;Blue 5;it is the same color as the tabled card
Blue Reverse ; Green 8, Blue 5, Yellow 7, Blue 5, Green 3, Blue 7, Green 9 ;Blue 5;it is the same color as the tabled card
Blue Reverse ; Green 8, Blue 5, Yellow 7, Blue 5, Green 3, Blue 7, Green 9 ;Blue 7;it is the same color as the tabled card
Blue 2 ; Yellow Reverse, Red 4, Blue 3, Green 4, Blue 9, Yellow 1, Red 3 ;Blue 3;it is the same color as the tabled card
Blue 2 ; Yellow Reverse, Red 4, Blue 3, Green 4, Blue 9, Yellow 1, Red 3 ;Blue 9;it is the same color as the tabled card
Yellow 6 ; Red 0, Blue Draw 2, Green 4, Red 0, Blue 1, Yellow 5, Green 7 ;Yellow 5;it is the same color as the tabled card
Blue 7 ; Blue 2, Red 2, Blue 9, Green 0, Yellow 5, Blue 2, Green Skip ;Blue 2;it is the same color as the tabled card
Blue 7 ; Blue 2, Red 2, Blue 9, Green 0, Yellow 5, Blue 2, Green Skip ;Blue 9;it is the same color as the tabled card
Blue 7 ; Blue 2, Red 2, Blue 9, Green 0, Yellow 5, Blue 2, Green Skip ;Blue 2;it is the same color as the tabled card
Green 7 ; Yellow Draw 2, Yellow 2, Yellow 8, Red 3, Red 4, Green Skip, Blue 3 ;Green Skip;it is the same color as the tabled card
Blue 8 ; Red 9, Green 2, Yellow Draw 2, Green 0, Red 6, Yellow 4, Red 0 ;Pick up 1 card;If there are no allowed moves you must pick up
Yellow 7 ; Blue 4, Green Skip, Yellow Draw 2, Green 2, Green Draw 2, Green Skip, Blue 7 ;Yellow Draw 2;it is the same color as the tabled card
Yellow 7 ; Blue 4, Green Skip, Yellow Draw 2, Green 2, Green Draw 2, Green Skip, Blue 7 ;Blue 7;it is the same type as the tabled card
Yellow 1 ; Blue Reverse, Yellow Skip, Green Draw 2, Yellow Skip, Green 8, Yellow 9, Yellow 1 ;Yellow Skip;it is the same color as the tabled card
Yellow 1 ; Blue Reverse, Yellow Skip, Green Draw 2, Yellow Skip, Green 8, Yellow 9, Yellow 1 ;Yellow Skip;it is the same color as the tabled card
Yellow 1 ; Blue Reverse, Yellow Skip, Green Draw 2, Yellow Skip, Green 8, Yellow 9, Yellow 1 ;Yellow 9;it is the same color as the tabled card
Yellow 1 ; Blue Reverse, Yellow Skip, Green Draw 2, Yellow Skip, Green 8, Yellow 9, Yellow 1 ;Yellow 1;it is the same color as the tabled card
Yellow 7 ; Red Skip, Yellow Draw 2, Wild Normal, Blue 3, Green 7, Wild Draw 4, Red Draw 2 ;Yellow Draw 2;it is the same color as the tabled card
Yellow 7 ; Red Skip, Yellow Draw 2, Wild Normal, Blue 3, Green 7, Wild Draw 4, Red Draw 2 ;Wild Normal;Wild cards can be played on any colour
Yellow 7 ; Red Skip, Yellow Draw 2, Wild Normal, Blue 3, Green 7, Wild Draw 4, Red Draw 2 ;Green 7;it is the same type as the tabled card
Yellow 7 ; Red Skip, Yellow Draw 2, Wild Normal, Blue 3, Green 7, Wild Draw 4, Red Draw 2 ;Wild Draw 4;Wild cards can be played on any colour
Wild Normal ; Green 3, Green Reverse, Yellow Reverse, Yellow Skip, Red 2, Red 9, Green 2 ;Green 3;Any card can be played on a Wild Normal
Wild Normal ; Green 3, Green Reverse, Yellow Reverse, Yellow Skip, Red 2, Red 9, Green 2 ;Green Reverse;Any card can be played on a Wild Normal
Wild Normal ; Green 3, Green Reverse, Yellow Reverse, Yellow Skip, Red 2, Red 9, Green 2 ;Yellow Reverse;Any card can be played on a Wild Normal
Wild Normal ; Green 3, Green Reverse, Yellow Reverse, Yellow Skip, Red 2, Red 9, Green 2 ;Yellow Skip;Any card can be played on a Wild Normal
Wild Normal ; Green 3, Green Reverse, Yellow Reverse, Yellow Skip, Red 2, Red 9, Green 2 ;Red 2;Any card can be played on a Wild Normal
Wild Normal ; Green 3, Green Reverse, Yellow Reverse, Yellow Skip, Red 2, Red 9, Green 2 ;Red 9;Any card can be played on a Wild Normal
Wild Normal ; Green 3, Green Reverse, Yellow Reverse, Yellow Skip, Red 2, Red 9, Green 2 ;Green 2;Any card can be played on a Wild Normal
Blue 1 ; Green 3, Wild Draw 4, Yellow 1, Red 9, Blue 8, Yellow 3, Green 7 ;Wild Draw 4;Wild cards can be played on any colour
Blue 1 ; Green 3, Wild Draw 4, Yellow 1, Red 9, Blue 8, Yellow 3, Green 7 ;Yellow 1;it is the same type as the tabled card
Blue 1 ; Green 3, Wild Draw 4, Yellow 1, Red 9, Blue 8, Yellow 3, Green 7 ;Blue 8;it is the same color as the tabled card
Yellow 6 ; Yellow 8, Blue 6, Red Skip, Yellow 4, Wild Normal, Red Draw 2, Red 3 ;Yellow 8;it is the same color as the tabled card
Yellow 6 ; Yellow 8, Blue 6, Red Skip, Yellow 4, Wild Normal, Red Draw 2, Red 3 ;Blue 6;it is the same type as the tabled card
Yellow 6 ; Yellow 8, Blue 6, Red Skip, Yellow 4, Wild Normal, Red Draw 2, Red 3 ;Yellow 4;it is the same color as the tabled card
Yellow 6 ; Yellow 8, Blue 6, Red Skip, Yellow 4, Wild Normal, Red Draw 2, Red 3 ;Wild Normal;Wild cards can be played on any colour
Green 5 ; Yellow 1, Wild Draw 4, Yellow 4, Red Reverse, Yellow 3, Green 3, Green 4 ;Wild Draw 4;Wild cards can be played on any colour
Green 5 ; Yellow 1, Wild Draw 4, Yellow 4, Red Reverse, Yellow 3, Green 3, Green 4 ;Green 3;it is the same color as the tabled card
Green 5 ; Yellow 1, Wild Draw 4, Yellow 4, Red Reverse, Yellow 3, Green 3, Green 4 ;Green 4;it is the same color as the tabled card
Green 2 ; Yellow 7, Yellow 9, Red 3, Blue 9, Red 7, Blue Skip, Yellow 5 ;Pick up 1 card;If there are no allowed moves you must pick up
Blue 3 ; Blue Skip, Green 5, Yellow 6, Red Skip, Blue 7, Yellow Skip, Blue 8 ;Blue Skip;it is the same color as the tabled card
Blue 3 ; Blue Skip, Green 5, Yellow 6, Red Skip, Blue 7, Yellow Skip, Blue 8 ;Blue 7;it is the same color as the tabled card
Blue 3 ; Blue Skip, Green 5, Yellow 6, Red Skip, Blue 7, Yellow Skip, Blue 8 ;Blue 8;it is the same color as the tabled card
Blue Skip ; Wild Draw 4, Wild Draw 4, Green Skip, Red 2, Yellow 4, Red Reverse, Blue 6 ;Wild Draw 4;Wild cards can be played on any colour
Blue Skip ; Wild Draw 4, Wild Draw 4, Green Skip, Red 2, Yellow 4, Red Reverse, Blue 6 ;Wild Draw 4;Wild cards can be played on any colour
Blue Skip ; Wild Draw 4, Wild Draw 4, Green Skip, Red 2, Yellow 4, Red Reverse, Blue 6 ;Green Skip;it is the same type as the tabled card
Blue Skip ; Wild Draw 4, Wild Draw 4, Green Skip, Red 2, Yellow 4, Red Reverse, Blue 6 ;Blue 6;it is the same color as the tabled card
Blue 6 ; Red 8, Wild Draw 4, Red 3, Red 9, Yellow 0, Green 9, Red 2 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 4 ; Yellow 9, Green 9, Red 8, Blue 5, Yellow Reverse, Yellow 6, Green Reverse ;Yellow 9;it is the same color as the tabled card
Yellow 4 ; Yellow 9, Green 9, Red 8, Blue 5, Yellow Reverse, Yellow 6, Green Reverse ;Yellow Reverse;it is the same color as the tabled card
Yellow 4 ; Yellow 9, Green 9, Red 8, Blue 5, Yellow Reverse, Yellow 6, Green Reverse ;Yellow 6;it is the same color as the tabled card
Green Draw 2 ; Wild Draw 4, Blue 6, Blue 9, Red 2, Green Skip, Green 5, Red Skip ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue 7 ; Yellow 5, Yellow 5, Green 2, Yellow 6, Yellow 4, Green 5, Red 1 ;Pick up 1 card;If there are no allowed moves you must pick up
Red 0 ; Blue 9, Yellow 3, Green 5, Yellow 2, Yellow 4, Red 3, Green 2 ;Red 3;it is the same color as the tabled card
Yellow 5 ; Green Reverse, Yellow 5, Green Reverse, Yellow Draw 2, Wild Draw 4, Red 4, Red Draw 2 ;Yellow 5;it is the same color as the tabled card
Yellow 5 ; Green Reverse, Yellow 5, Green Reverse, Yellow Draw 2, Wild Draw 4, Red 4, Red Draw 2 ;Yellow Draw 2;it is the same color as the tabled card
Yellow 5 ; Green Reverse, Yellow 5, Green Reverse, Yellow Draw 2, Wild Draw 4, Red 4, Red Draw 2 ;Wild Draw 4;Wild cards can be played on any colour
Blue Draw 2 ; Blue 7, Green 5, Blue Reverse, Red 7, Blue 7, Blue Skip, Blue 6 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Blue 6 ; Yellow Reverse, Blue 6, Green 8, Red Draw 2, Blue 0, Yellow 6, Red 9 ;Blue 6;it is the same color as the tabled card
Blue 6 ; Yellow Reverse, Blue 6, Green 8, Red Draw 2, Blue 0, Yellow 6, Red 9 ;Blue 0;it is the same color as the tabled card
Blue 6 ; Yellow Reverse, Blue 6, Green 8, Red Draw 2, Blue 0, Yellow 6, Red 9 ;Yellow 6;it is the same type as the tabled card
Green Reverse ; Red Skip, Red Draw 2, Blue 9, Red Skip, Green Reverse, Yellow Skip, Red Skip ;Green Reverse;it is the same color as the tabled card
Blue Draw 2 ; Green Reverse, Red 4, Wild Normal, Red 3, Green 4, Green 6, Blue Reverse ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Yellow 1 ; Red 3, Green 2, Blue Draw 2, Red 7, Red 4, Red Draw 2, Green Skip ;Pick up 1 card;If there are no allowed moves you must pick up
Blue 4 ; Yellow 2, Blue 2, Green 6, Green 3, Yellow 0, Green 9, Red 2 ;Blue 2;it is the same color as the tabled card
Yellow 1 ; Green 3, Blue 0, Blue Draw 2, Blue 8, Green 3, Green 0, Yellow 1 ;Yellow 1;it is the same color as the tabled card
Green 1 ; Yellow 6, Red 7, Red 4, Green 3, Yellow 0, Green 5, Green Draw 2 ;Green 3;it is the same color as the tabled card
Green 1 ; Yellow 6, Red 7, Red 4, Green 3, Yellow 0, Green 5, Green Draw 2 ;Green 5;it is the same color as the tabled card
Green 1 ; Yellow 6, Red 7, Red 4, Green 3, Yellow 0, Green 5, Green Draw 2 ;Green Draw 2;it is the same color as the tabled card
Yellow Draw 2 ; Yellow 4, Green Reverse, Wild Draw 4, Green 4, Yellow 7, Blue 2, Yellow 6 ;Pick up 2 cards;You must pick up 2 cards when a Draw 2 is played
Wild Draw 4 ; Red 8, Green 8, Green 4, Green 2, Yellow 9, Green 6, Yellow 5 ;Pick up 4 cards;You have to pick up 4 cards when a Wild Draw 4 is played
Yellow 4 ; Red Reverse, Red Skip, Yellow 7, Green 9, Yellow 2, Red 3, Green Reverse ;Yellow 7;it is the same color as the tabled card
Yellow 4 ; Red Reverse, Red Skip, Yellow 7, Green 9, Yellow 2, Red 3, Green Reverse ;Yellow 2;it is the same color as the tabled card
Green 8 ; Blue 3, Blue Skip, Blue 1, Green 1, Blue 5, Yellow 5, Blue 2 ;Green 1;it is the same color as the tabled card
Yellow Skip ; Red 4, Green Reverse, Yellow 6, Blue Reverse, Yellow 8, Red Draw 2, Blue 4 ;Yellow 6;it is the same color as the tabled card
Yellow Skip ; Red 4, Green Reverse, Yellow 6, Blue Reverse, Yellow 8, Red Draw 2, Blue 4 ;Yellow 8;it is the same color as the tabled card
Green 3 ; Red 1, Yellow Skip, Yellow Skip, Yellow 1, Yellow 3, Red 3, Yellow 6 ;Yellow 3;it is the same type as the tabled card
Green 3 ; Red 1, Yellow Skip, Yellow Skip, Yellow 1, Yellow 3, Red 3, Yellow 6 ;Red 3;it is the same type as the tabled card
Yellow 4 ; Wild Draw 4, Green 6, Red 5, Green 8, Red 1, Yellow Skip, Red 3 ;Wild Draw 4;Wild cards can be played on any colour
Yellow 4 ; Wild Draw 4, Green 6, Red 5, Green 8, Red 1, Yellow Skip, Red 3 ;Yellow Skip;it is the same color as the tabled card
Green Skip ; Red 0, Red 7, Red 6, Wild Normal, Blue 8, Red 6, Red 7 ;Wild Normal;Wild cards can be played on any colour
Yellow Reverse ; Green 3, Yellow 8, Yellow 7, Green Reverse, Red 5, Yellow 8, Green 1 ;Yellow 8;it is the same color as the tabled card
