Card on the Table:,Cards in Hand:,Possible Move:,Applicable rule:
Green 7,"Wild Draw 4, Red 8, Yellow 3, Blue 7, Wild Draw 4, Red 3, Yellow Draw 2",Blue 7,Wild cards can be played on any colour
Green 7,"Wild Draw 4, Red 8, Yellow 3, Blue 7, Wild Draw 4, Red 3, Yellow Draw 2",Wild Draw 4,Wild cards can be played on any colour
Wild Normal,"Blue 7, Yellow Draw 2, Yellow 4, Blue 8, Blue 2, Green 7, Red 6",Blue 7,Any card can be played on a Wild Normal
Wild Normal,"Blue 7, Yellow Draw 2, Yellow 4, Blue 8, Blue 2, Green 7, Red 6",Yellow Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Blue 7, Yellow Draw 2, Yellow 4, Blue 8, Blue 2, Green 7, Red 6",Yellow 4,Any card can be played on a Wild Normal
Wild Normal,"Blue 7, Yellow Draw 2, Yellow 4, Blue 8, Blue 2, Green 7, Red 6",Blue 8,Any card can be played on a Wild Normal
Wild Normal,"Blue 7, Yellow Draw 2, Yellow 4, Blue 8, Blue 2, Green 7, Red 6",Blue 2,Any card can be played on a Wild Normal
Wild Normal,"Blue 7, Yellow Draw 2, Yellow 4, Blue 8, Blue 2, Green 7, Red 6",Green 7,Any card can be played on a Wild Normal
Wild Normal,"Blue 7, Yellow Draw 2, Yellow 4, Blue 8, Blue 2, Green 7, Red 6",Red 6,Any card can be played on a Wild Normal
Yellow Skip,"Yellow 8, Red 3, Yellow 1, Red 0, Red 5, Green Draw 2, Yellow Reverse",Yellow 8,it is the same color as the tabled card
Yellow Skip,"Yellow 8, Red 3, Yellow 1, Red 0, Red 5, Green Draw 2, Yellow Reverse",Yellow 1,it is the same color as the tabled card
Yellow Skip,"Yellow 8, Red 3, Yellow 1, Red 0, Red 5, Green Draw 2, Yellow Reverse",Yellow Reverse,it is the same color as the tabled card
Blue 7,"Red 6, Yellow Reverse, Red 8, Yellow 1, Wild Normal, Green 7, Yellow 0",Wild Normal,Wild cards can be played on any colour
Blue 7,"Red 6, Yellow Reverse, Red 8, Yellow 1, Wild Normal, Green 7, Yellow 0",Green 7,Wild cards can be played on any colour
Red Skip,"Red 2, Green 7, Red 3, Blue Skip, Red 2, Yellow 9, Green 8",Red 2,it is the same color as the tabled card
Red Skip,"Red 2, Green 7, Red 3, Blue Skip, Red 2, Yellow 9, Green 8",Red 3,it is the same color as the tabled card
Red Skip,"Red 2, Green 7, Red 3, Blue Skip, Red 2, Yellow 9, Green 8",Blue Skip,Wild cards can be played on any colour
Red Skip,"Red 2, Green 7, Red 3, Blue Skip, Red 2, Yellow 9, Green 8",Red 2,it is the same color as the tabled card
Red Skip,"Wild Normal, Blue 5, Red 7, Red 9, Blue Reverse, Green 4, Red 6",Wild Normal,Wild cards can be played on any colour
Red Skip,"Wild Normal, Blue 5, Red 7, Red 9, Blue Reverse, Green 4, Red 6",Red 7,it is the same color as the tabled card
Red Skip,"Wild Normal, Blue 5, Red 7, Red 9, Blue Reverse, Green 4, Red 6",Red 9,it is the same color as the tabled card
Red Skip,"Wild Normal, Blue 5, Red 7, Red 9, Blue Reverse, Green 4, Red 6",Red 6,it is the same color as the tabled card
Yellow Draw 2,"Red 2, Green 2, Yellow Skip, Yellow Skip, Wild Normal, Red Skip, Yellow 9",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Yellow 1,"Green 6, Wild Normal, Green 9, Yellow 2, Blue 2, Red 5, Blue Draw 2",Wild Normal,Wild cards can be played on any colour
Yellow 1,"Green 6, Wild Normal, Green 9, Yellow 2, Blue 2, Red 5, Blue Draw 2",Yellow 2,it is the same color as the tabled card
Yellow 4,"Green 9, Yellow 9, Red 2, Red 1, Yellow Draw 2, Yellow 3, Yellow 9",Yellow 9,it is the same color as the tabled card
Yellow 4,"Green 9, Yellow 9, Red 2, Red 1, Yellow Draw 2, Yellow 3, Yellow 9",Yellow Draw 2,it is the same color as the tabled card
Yellow 4,"Green 9, Yellow 9, Red 2, Red 1, Yellow Draw 2, Yellow 3, Yellow 9",Yellow 3,it is the same color as the tabled card
Yellow 4,"Green 9, Yellow 9, Red 2, Red 1, Yellow Draw 2, Yellow 3, Yellow 9",Yellow 9,it is the same color as the tabled card
Blue Reverse,"Blue 9, Blue Skip, Green 8, Yellow 5, Red 7, Wild Draw 4, Green 9",Blue 9,it is the same color as the tabled card
Blue Reverse,"Blue 9, Blue Skip, Green 8, Yellow 5, Red 7, Wild Draw 4, Green 9",Blue Skip,it is the same color as the tabled card
Blue Reverse,"Blue 9, Blue Skip, Green 8, Yellow 5, Red 7, Wild Draw 4, Green 9",Wild Draw 4,Wild cards can be played on any colour
Red 3,"Green 2, Green 1, Wild Normal, Green Reverse, Yellow 3, Yellow Reverse, Green 4",Wild Normal,Wild cards can be played on any colour
Red 3,"Green 2, Green 1, Wild Normal, Green Reverse, Yellow 3, Yellow Reverse, Green 4",Yellow 3,Wild cards can be played on any colour
Red Reverse,"Red Skip, Blue 7, Yellow 2, Green 1, Blue 7, Green 2, Blue 1",Red Skip,it is the same color as the tabled card
Red 2,"Wild Normal, Green 3, Yellow 6, Green 2, Blue 8, Blue Reverse, Red 4",Wild Normal,Wild cards can be played on any colour
Red 2,"Wild Normal, Green 3, Yellow 6, Green 2, Blue 8, Blue Reverse, Red 4",Green 2,Wild cards can be played on any colour
Red 2,"Wild Normal, Green 3, Yellow 6, Green 2, Blue 8, Blue Reverse, Red 4",Red 4,it is the same color as the tabled card
Red 8,"Yellow 3, Blue 2, Red 1, Blue 9, Green 1, Red 2, Yellow 2",Red 1,it is the same color as the tabled card
Red 8,"Yellow 3, Blue 2, Red 1, Blue 9, Green 1, Red 2, Yellow 2",Red 2,it is the same color as the tabled card
Green 4,"Yellow Reverse, Yellow 1, Blue 1, Green 2, Blue 4, Yellow 5, Yellow 4",Green 2,it is the same color as the tabled card
Green 4,"Yellow Reverse, Yellow 1, Blue 1, Green 2, Blue 4, Yellow 5, Yellow 4",Blue 4,Wild cards can be played on any colour
Green 4,"Yellow Reverse, Yellow 1, Blue 1, Green 2, Blue 4, Yellow 5, Yellow 4",Yellow 4,Wild cards can be played on any colour
Blue 7,"Green 2, Red 2, Yellow 3, Blue 9, Blue Reverse, Green 4, Blue 9",Blue 9,it is the same color as the tabled card
Blue 7,"Green 2, Red 2, Yellow 3, Blue 9, Blue Reverse, Green 4, Blue 9",Blue Reverse,it is the same color as the tabled card
Blue 7,"Green 2, Red 2, Yellow 3, Blue 9, Blue Reverse, Green 4, Blue 9",Blue 9,it is the same color as the tabled card
Blue 7,"Blue 1, Red 3, Red 4, Green Draw 2, Red 9, Green 9, Wild Draw 4",Blue 1,it is the same color as the tabled card
Blue 7,"Blue 1, Red 3, Red 4, Green Draw 2, Red 9, Green 9, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Red 8,"Red 4, Green 2, Red 3, Red 7, Blue 0, Green 4, Yellow Draw 2",Red 4,it is the same color as the tabled card
Red 8,"Red 4, Green 2, Red 3, Red 7, Blue 0, Green 4, Yellow Draw 2",Red 3,it is the same color as the tabled card
Red 8,"Red 4, Green 2, Red 3, Red 7, Blue 0, Green 4, Yellow Draw 2",Red 7,it is the same color as the tabled card
Yellow 2,"Wild Draw 4, Green 3, Blue 5, Wild Draw 4, Red 2, Wild Draw 4, Blue 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 2,"Wild Draw 4, Green 3, Blue 5, Wild Draw 4, Red 2, Wild Draw 4, Blue 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 2,"Wild Draw 4, Green 3, Blue 5, Wild Draw 4, Red 2, Wild Draw 4, Blue 4",Red 2,Wild cards can be played on any colour
Yellow 2,"Wild Draw 4, Green 3, Blue 5, Wild Draw 4, Red 2, Wild Draw 4, Blue 4",Wild Draw 4,Wild cards can be played on any colour
Blue 3,"Yellow 3, Wild Normal, Wild Normal, Yellow 0, Red 6, Yellow 3, Blue 3",Yellow 3,Wild cards can be played on any colour
Blue 3,"Yellow 3, Wild Normal, Wild Normal, Yellow 0, Red 6, Yellow 3, Blue 3",Wild Normal,Wild cards can be played on any colour
Blue 3,"Yellow 3, Wild Normal, Wild Normal, Yellow 0, Red 6, Yellow 3, Blue 3",Wild Normal,Wild cards can be played on any colour
Blue 3,"Yellow 3, Wild Normal, Wild Normal, Yellow 0, Red 6, Yellow 3, Blue 3",Yellow 3,Wild cards can be played on any colour
Blue 3,"Yellow 3, Wild Normal, Wild Normal, Yellow 0, Red 6, Yellow 3, Blue 3",Blue 3,it is the same color as the tabled card
Green Draw 2,"Blue 1, Blue 0, Red 3, Wild Draw 4, Wild Draw 4, Green 5, Green 8",Pick up 2 cards,You must pick up 2 cards when a Draw 2 is played
Red 6,"Yellow 3, Yellow Draw 2, Blue Reverse, Green Draw 2, Red 0, Blue 6, Green 7",Red 0,it is the same color as the tabled card
Red 6,"Yellow 3, Yellow Draw 2, Blue Reverse, Green Draw 2, Red 0, Blue 6, Green 7",Blue 6,Wild cards can be played on any colour
Green Reverse,"Wild Normal, Wild Draw 4, Red Skip, Red Reverse, Red 1, Wild Draw 4, Yellow Reverse",Wild Normal,Wild cards can be played on any colour
Green Reverse,"Wild Normal, Wild Draw 4, Red Skip, Red Reverse, Red 1, Wild Draw 4, Yellow Reverse",Wild Draw 4,Wild cards can be played on any colour
Green Reverse,"Wild Normal, Wild Draw 4, Red Skip, Red Reverse, Red 1, Wild Draw 4, Yellow Reverse",Red Reverse,Wild cards can be played on any colour
Green Reverse,"Wild Normal, Wild Draw 4, Red Skip, Red Reverse, Red 1, Wild Draw 4, Yellow Reverse",Wild Draw 4,Wild cards can be played on any colour
Green Reverse,"Wild Normal, Wild Draw 4, Red Skip, Red Reverse, Red 1, Wild Draw 4, Yellow Reverse",Yellow Reverse,Wild cards can be played on any colour
Red 1,"Green 0, Green 5, Blue 7, Red 0, Green 4, Yellow 9, Red Skip",Red 0,it is the same color as the tabled card
Red 1,"Green 0, Green 5, Blue 7, Red 0, Green 4, Yellow 9, Red Skip",Red Skip,it is the same color as the tabled card
Green 2,"Green 0, Blue 7, Blue 9, Yellow 9, Yellow 1, Red 6, Yellow Draw 2",Green 0,it is the same color as the tabled card
Blue 8,"Yellow 4, Green Skip, Blue 4, Blue 4, Red 5, Red 8, Blue 6",Blue 4,it is the same color as the tabled card
Blue 8,"Yellow 4, Green Skip, Blue 4, Blue 4, Red 5, Red 8, Blue 6",Blue 4,it is the same color as the tabled card
Blue 8,"Yellow 4, Green Skip, Blue 4, Blue 4, Red 5, Red 8, Blue 6",Red 8,Wild cards can be played on any colour
Blue 8,"Yellow 4, Green Skip, Blue 4, Blue 4, Red 5, Red 8, Blue 6",Blue 6,it is the same color as the tabled card
Yellow 7,"Yellow 7, Wild Draw 4, Wild Draw 4, Yellow 8, Blue 1, Green 7, Blue 5",Yellow 7,it is the same color as the tabled card
Yellow 7,"Yellow 7, Wild Draw 4, Wild Draw 4, Yellow 8, Blue 1, Green 7, Blue 5",Wild Draw 4,Wild cards can be played on any colour
Yellow 7,"Yellow 7, Wild Draw 4, Wild Draw 4, Yellow 8, Blue 1, Green 7, Blue 5",Wild Draw 4,Wild cards can be played on any colour
Yellow 7,"Yellow 7, Wild Draw 4, Wild Draw 4, Yellow 8, Blue 1, Green 7, Blue 5",Yellow 8,it is the same color as the tabled card
Yellow 7,"Yellow 7, Wild Draw 4, Wild Draw 4, Yellow 8, Blue 1, Green 7, Blue 5",Green 7,Wild cards can be played on any colour
Wild Draw 4,"Red 9, Blue 2, Green 3, Yellow Skip, Yellow 4, Yellow 7, Red 3",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Red 2,"Blue 0, Blue 2, Wild Draw 4, Wild Draw 4, Blue 9, Blue Reverse, Green 6",Blue 2,Wild cards can be played on any colour
Red 2,"Blue 0, Blue 2, Wild Draw 4, Wild Draw 4, Blue 9, Blue Reverse, Green 6",Wild Draw 4,Wild cards can be played on any colour
Red 2,"Blue 0, Blue 2, Wild Draw 4, Wild Draw 4, Blue 9, Blue Reverse, Green 6",Wild Draw 4,Wild cards can be played on any colour
Red Skip,"Red Skip, Red 3, Blue 0, Blue 3, Green Reverse, Red 6, Green 4",Red Skip,it is the same color as the tabled card
Red Skip,"Red Skip, Red 3, Blue 0, Blue 3, Green Reverse, Red 6, Green 4",Red 3,it is the same color as the tabled card
Red Skip,"Red Skip, Red 3, Blue 0, Blue 3, Green Reverse, Red 6, Green 4",Red 6,it is the same color as the tabled card
Green 6,"Blue 3, Blue 5, Red 5, Yellow Draw 2, Wild Draw 4, Blue Draw 2, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Green 6,"Blue 3, Blue 5, Red 5, Yellow Draw 2, Wild Draw 4, Blue Draw 2, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Yellow 2,"Wild Normal, Yellow 7, Red Draw 2, Blue 3, Blue 5, Blue Draw 2, Red 7",Wild Normal,Wild cards can be played on any colour
Yellow 2,"Wild Normal, Yellow 7, Red Draw 2, Blue 3, Blue 5, Blue Draw 2, Red 7",Yellow 7,it is the same color as the tabled card
Green 2,"Red 2, Blue 9, Blue 5, Blue 8, Green 4, Blue 1, Green Skip",Red 2,Wild cards can be played on any colour
Green 2,"Red 2, Blue 9, Blue 5, Blue 8, Green 4, Blue 1, Green Skip",Green 4,it is the same color as the tabled card
Green 2,"Red 2, Blue 9, Blue 5, Blue 8, Green 4, Blue 1, Green Skip",Green Skip,it is the same color as the tabled card
Red Reverse,"Yellow Skip, Red Draw 2, Green Draw 2, Green Reverse, Red Skip, Red 7, Yellow Draw 2",Red Draw 2,it is the same color as the tabled card
Red Reverse,"Yellow Skip, Red Draw 2, Green Draw 2, Green Reverse, Red Skip, Red 7, Yellow Draw 2",Green Reverse,Wild cards can be played on any colour
Red Reverse,"Yellow Skip, Red Draw 2, Green Draw 2, Green Reverse, Red Skip, Red 7, Yellow Draw 2",Red Skip,it is the same color as the tabled card
Red Reverse,"Yellow Skip, Red Draw 2, Green Draw 2, Green Reverse, Red Skip, Red 7, Yellow Draw 2",Red 7,it is the same color as the tabled card
Green 6,"Green Skip, Yellow 8, Wild Normal, Blue 2, Red 5, Wild Draw 4, Yellow Draw 2",Green Skip,it is the same color as the tabled card
Green 6,"Green Skip, Yellow 8, Wild Normal, Blue 2, Red 5, Wild Draw 4, Yellow Draw 2",Wild Normal,Wild cards can be played on any colour
Green 6,"Green Skip, Yellow 8, Wild Normal, Blue 2, Red 5, Wild Draw 4, Yellow Draw 2",Wild Draw 4,Wild cards can be played on any colour
Wild Normal,"Yellow 3, Yellow Reverse, Red 1, Red 3, Wild Normal, Green 2, Green Reverse",Yellow 3,Any card can be played on a Wild Normal
Wild Normal,"Yellow 3, Yellow Reverse, Red 1, Red 3, Wild Normal, Green 2, Green Reverse",Yellow Reverse,Any card can be played on a Wild Normal
Wild Normal,"Yellow 3, Yellow Reverse, Red 1, Red 3, Wild Normal, Green 2, Green Reverse",Red 1,Any card can be played on a Wild Normal
Wild Normal,"Yellow 3, Yellow Reverse, Red 1, Red 3, Wild Normal, Green 2, Green Reverse",Red 3,Any card can be played on a Wild Normal
Wild Normal,"Yellow 3, Yellow Reverse, Red 1, Red 3, Wild Normal, Green 2, Green Reverse",Wild Normal,Any card can be played on a Wild Normal
Wild Normal,"Yellow 3, Yellow Reverse, Red 1, Red 3, Wild Normal, Green 2, Green Reverse",Green 2,Any card can be played on a Wild Normal
Wild Normal,"Yellow 3, Yellow Reverse, Red 1, Red 3, Wild Normal, Green 2, Green Reverse",Green Reverse,Any card can be played on a Wild Normal
Wild Draw 4,"Yellow 8, Yellow 9, Yellow 2, Yellow Skip, Yellow 9, Blue 9, Red 4",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Green 6,"Yellow Skip, Red 0, Blue 3, Green Skip, Green Reverse, Wild Normal, Red 2",Green Skip,it is the same color as the tabled card
Green 6,"Yellow Skip, Red 0, Blue 3, Green Skip, Green Reverse, Wild Normal, Red 2",Green Reverse,it is the same color as the tabled card
Green 6,"Yellow Skip, Red 0, Blue 3, Green Skip, Green Reverse, Wild Normal, Red 2",Wild Normal,Wild cards can be played on any colour
Yellow 6,"Yellow 8, Red 5, Yellow Skip, Blue 4, Yellow 8, Blue 4, Green 6",Yellow 8,it is the same color as the tabled card
Yellow 6,"Yellow 8, Red 5, Yellow Skip, Blue 4, Yellow 8, Blue 4, Green 6",Yellow Skip,it is the same color as the tabled card
Yellow 6,"Yellow 8, Red 5, Yellow Skip, Blue 4, Yellow 8, Blue 4, Green 6",Yellow 8,it is the same color as the tabled card
Yellow 6,"Yellow 8, Red 5, Yellow Skip, Blue 4, Yellow 8, Blue 4, Green 6",Green 6,Wild cards can be played on any colour
Yellow Skip,"Red 4, Red Draw 2, Blue Skip, Red 6, Blue 3, Green 4, Blue Draw 2",Blue Skip,Wild cards can be played on any colour
Blue 2,"Red 9, Green 8, Blue 9, Blue 5, Blue 7, Blue 2, Green 4",Blue 9,it is the same color as the tabled card
Blue 2,"Red 9, Green 8, Blue 9, Blue 5, Blue 7, Blue 2, Green 4",Blue 5,it is the same color as the tabled card
Blue 2,"Red 9, Green 8, Blue 9, Blue 5, Blue 7, Blue 2, Green 4",Blue 7,it is the same color as the tabled card
Blue 2,"Red 9, Green 8, Blue 9, Blue 5, Blue 7, Blue 2, Green 4",Blue 2,it is the same color as the tabled card
Yellow 5,"Red 4, Green 4, Red Draw 2, Yellow Draw 2, Red Skip, Red 4, Blue 3",Yellow Draw 2,it is the same color as the tabled card
Green 5,"Blue Skip, Red 7, Wild Normal, Green Skip, Blue 6, Yellow 7, Red Skip",Wild Normal,Wild cards can be played on any colour
Green 5,"Blue Skip, Red 7, Wild Normal, Green Skip, Blue 6, Yellow 7, Red Skip",Green Skip,it is the same color as the tabled card
Blue 2,"Green 1, Wild Draw 4, Blue 4, Green 1, Red 1, Red Reverse, Green Reverse",Wild Draw 4,Wild cards can be played on any colour
Blue 2,"Green 1, Wild Draw 4, Blue 4, Green 1, Red 1, Red Reverse, Green Reverse",Blue 4,it is the same color as the tabled card
Yellow 5,"Red 9, Blue 6, Green 1, Green 3, Red 9, Yellow Draw 2, Red 9",Yellow Draw 2,it is the same color as the tabled card
Wild Draw 4,"Blue 4, Wild Normal, Green 0, Yellow 7, Red 2, Blue Reverse, Blue Skip",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Wild Normal,"Red 5, Yellow 1, Red 9, Yellow 6, Red 7, Wild Normal, Green 8",Red 5,Any card can be played on a Wild Normal
Wild Normal,"Red 5, Yellow 1, Red 9, Yellow 6, Red 7, Wild Normal, Green 8",Yellow 1,Any card can be played on a Wild Normal
Wild Normal,"Red 5, Yellow 1, Red 9, Yellow 6, Red 7, Wild Normal, Green 8",Red 9,Any card can be played on a Wild Normal
Wild Normal,"Red 5, Yellow 1, Red 9, Yellow 6, Red 7, Wild Normal, Green 8",Yellow 6,Any card can be played on a Wild Normal
Wild Normal,"Red 5, Yellow 1, Red 9, Yellow 6, Red 7, Wild Normal, Green 8",Red 7,Any card can be played on a Wild Normal
Wild Normal,"Red 5, Yellow 1, Red 9, Yellow 6, Red 7, Wild Normal, Green 8",Wild Normal,Any card can be played on a Wild Normal
Wild Normal,"Red 5, Yellow 1, Red 9, Yellow 6, Red 7, Wild Normal, Green 8",Green 8,Any card can be played on a Wild Normal
Red 7,"Green Skip, Red Reverse, Red 7, Green 2, Yellow 1, Red 7, Green 0",Red Reverse,it is the same color as the tabled card
Red 7,"Green Skip, Red Reverse, Red 7, Green 2, Yellow 1, Red 7, Green 0",Red 7,it is the same color as the tabled card
Red 7,"Green Skip, Red Reverse, Red 7, Green 2, Yellow 1, Red 7, Green 0",Red 7,it is the same color as the tabled card
Wild Draw 4,"Blue 7, Yellow 9, Yellow 1, Yellow 1, Red 9, Yellow Reverse, Wild Draw 4",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Blue 7,"Blue 3, Green 5, Red 8, Wild Normal, Yellow 8, Green Skip, Red 0",Blue 3,it is the same color as the tabled card
Blue 7,"Blue 3, Green 5, Red 8, Wild Normal, Yellow 8, Green Skip, Red 0",Wild Normal,Wild cards can be played on any colour
Yellow 6,"Yellow 5, Blue Draw 2, Red 4, Red 4, Green Reverse, Yellow Reverse, Blue 7",Yellow 5,it is the same color as the tabled card
Yellow 6,"Yellow 5, Blue Draw 2, Red 4, Red 4, Green Reverse, Yellow Reverse, Blue 7",Yellow Reverse,it is the same color as the tabled card
Yellow 4,"Red 8, Blue 0, Blue Draw 2, Blue 1, Blue Skip, Red 4, Red 3",Red 4,Wild cards can be played on any colour
Yellow 1,"Red 9, Blue Reverse, Blue 6, Red Draw 2, Blue 1, Green 9, Red 7",Blue 1,Wild cards can be played on any colour
Wild Normal,"Yellow Reverse, Blue 2, Wild Draw 4, Blue Reverse, Blue 9, Wild Draw 4, Wild Normal",Yellow Reverse,Any card can be played on a Wild Normal
Wild Normal,"Yellow Reverse, Blue 2, Wild Draw 4, Blue Reverse, Blue 9, Wild Draw 4, Wild Normal",Blue 2,Any card can be played on a Wild Normal
Wild Normal,"Yellow Reverse, Blue 2, Wild Draw 4, Blue Reverse, Blue 9, Wild Draw 4, Wild Normal",Wild Draw 4,Any card can be played on a Wild Normal
Wild Normal,"Yellow Reverse, Blue 2, Wild Draw 4, Blue Reverse, Blue 9, Wild Draw 4, Wild Normal",Blue Reverse,Any card can be played on a Wild Normal
Wild Normal,"Yellow Reverse, Blue 2, Wild Draw 4, Blue Reverse, Blue 9, Wild Draw 4, Wild Normal",Blue 9,Any card can be played on a Wild Normal
Wild Normal,"Yellow Reverse, Blue 2, Wild Draw 4, Blue Reverse, Blue 9, Wild Draw 4, Wild Normal",Wild Draw 4,Any card can be played on a Wild Normal
Wild Normal,"Yellow Reverse, Blue 2, Wild Draw 4, Blue Reverse, Blue 9, Wild Draw 4, Wild Normal",Wild Normal,Any card can be played on a Wild Normal
Green 6,"Blue Skip, Green 7, Blue 2, Yellow Skip, Red 2, Yellow 6, Wild Draw 4",Green 7,it is the same color as the tabled card
Green 6,"Blue Skip, Green 7, Blue 2, Yellow Skip, Red 2, Yellow 6, Wild Draw 4",Yellow 6,Wild cards can be played on any colour
Green 6,"Blue Skip, Green 7, Blue 2, Yellow Skip, Red 2, Yellow 6, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Blue 4,"Red 7, Red Draw 2, Green Reverse, Green 3, Green 8, Wild Draw 4, Red 9",Wild Draw 4,Wild cards can be played on any colour
Blue 6,"Wild Draw 4, Yellow 8, Wild Draw 4, Red 3, Blue 8, Red Skip, Red 7",Wild Draw 4,Wild cards can be played on any colour
Blue 6,"Wild Draw 4, Yellow 8, Wild Draw 4, Red 3, Blue 8, Red Skip, Red 7",Wild Draw 4,Wild cards can be played on any colour
Blue 6,"Wild Draw 4, Yellow 8, Wild Draw 4, Red 3, Blue 8, Red Skip, Red 7",Blue 8,it is the same color as the tabled card
Yellow 9,"Blue 2, Blue Reverse, Blue 9, Yellow 8, Red 6, Green 9, Red 4",Blue 9,Wild cards can be played on any colour
Yellow 9,"Blue 2, Blue Reverse, Blue 9, Yellow 8, Red 6, Green 9, Red 4",Yellow 8,it is the same color as the tabled card
Yellow 9,"Blue 2, Blue Reverse, Blue 9, Yellow 8, Red 6, Green 9, Red 4",Green 9,Wild cards can be played on any colour
Red 3,"Green 5, Blue 3, Green 8, Yellow 7, Green Draw 2, Yellow Reverse, Blue Reverse",Blue 3,Wild cards can be played on any colour
Yellow 3,"Green 9, Yellow 6, Yellow 4, Blue 2, Green Skip, Green Skip, Green 9",Yellow 6,it is the same color as the tabled card
Yellow 3,"Green 9, Yellow 6, Yellow 4, Blue 2, Green Skip, Green Skip, Green 9",Yellow 4,it is the same color as the tabled card
Wild Normal,"Wild Draw 4, Blue 6, Yellow 8, Blue Draw 2, Blue 9, Green Draw 2, Green Reverse",Wild Draw 4,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Blue 6, Yellow 8, Blue Draw 2, Blue 9, Green Draw 2, Green Reverse",Blue 6,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Blue 6, Yellow 8, Blue Draw 2, Blue 9, Green Draw 2, Green Reverse",Yellow 8,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Blue 6, Yellow 8, Blue Draw 2, Blue 9, Green Draw 2, Green Reverse",Blue Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Blue 6, Yellow 8, Blue Draw 2, Blue 9, Green Draw 2, Green Reverse",Blue 9,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Blue 6, Yellow 8, Blue Draw 2, Blue 9, Green Draw 2, Green Reverse",Green Draw 2,Any card can be played on a Wild Normal
Wild Normal,"Wild Draw 4, Blue 6, Yellow 8, Blue Draw 2, Blue 9, Green Draw 2, Green Reverse",Green Reverse,Any card can be played on a Wild Normal
Red 3,"Red 7, Wild Normal, Green 5, Yellow 0, Yellow 8, Green 6, Wild Draw 4",Red 7,it is the same color as the tabled card
Red 3,"Red 7, Wild Normal, Green 5, Yellow 0, Yellow 8, Green 6, Wild Draw 4",Wild Normal,Wild cards can be played on any colour
Red 3,"Red 7, Wild Normal, Green 5, Yellow 0, Yellow 8, Green 6, Wild Draw 4",Wild Draw 4,Wild cards can be played on any colour
Blue 4,"Blue 9, Green 4, Blue 5, Blue 3, Red 4, Yellow Reverse, Red Reverse",Blue 9,it is the same color as the tabled card
Blue 4,"Blue 9, Green 4, Blue 5, Blue 3, Red 4, Yellow Reverse, Red Reverse",Green 4,Wild cards can be played on any colour
Blue 4,"Blue 9, Green 4, Blue 5, Blue 3, Red 4, Yellow Reverse, Red Reverse",Blue 5,it is the same color as the tabled card
Blue 4,"Blue 9, Green 4, Blue 5, Blue 3, Red 4, Yellow Reverse, Red Reverse",Blue 3,it is the same color as the tabled card
Blue 4,"Blue 9, Green 4, Blue 5, Blue 3, Red 4, Yellow Reverse, Red Reverse",Red 4,Wild cards can be played on any colour
Wild Draw 4,"Blue 9, Blue 9, Wild Draw 4, Yellow 3, Yellow 5, Wild Draw 4, Blue Skip",Pick up 4 cards,You have to pick up 4 cards when a Wild Draw 4 is played
Blue 8,"Red 4, Wild Normal, Blue 0, Green 6, Wild Draw 4, Wild Normal, Yellow 2",Wild Normal,Wild cards can be played on any colour
Blue 8,"Red 4, Wild Normal, Blue 0, Green 6, Wild Draw 4, Wild Normal, Yellow 2",Blue 0,it is the same color as the tabled card
Blue 8,"Red 4, Wild Normal, Blue 0, Green 6, Wild Draw 4, Wild Normal, Yellow 2",Wild Draw 4,Wild cards can be played on any colour
Blue 8,"Red 4, Wild Normal, Blue 0, Green 6, Wild Draw 4, Wild Normal, Yellow 2",Wild Normal,Wild cards can be played on any colour
Red 8,"Yellow 7, Blue 1, Blue 9, Yellow 3, Green Draw 2, Red 1, Green Skip",Red 1,it is the same color as the tabled card
Red Reverse,"Green 1, Red 5, Yellow 5, Yellow 7, Yellow 7, Yellow 7, Blue Skip",Red 5,it is the same color as the tabled card
Red 4,"Green Skip, Red 7, Red 5, Blue Skip, Wild Draw 4, Green 8, Yellow 2",Red 7,it is the same color as the tabled card
Red 4,"Green Skip, Red 7, Red 5, Blue Skip, Wild Draw 4, Green 8, Yellow 2",Red 5,it is the same color as the tabled card
Red 4,"Green Skip, Red 7, Red 5, Blue Skip, Wild Draw 4, Green 8, Yellow 2",Wild Draw 4,Wild cards can be played on any colour
Yellow 4,"Yellow 6, Red 2, Yellow 4, Green 5, Blue 9, Blue 3, Blue 6",Yellow 6,it is the same color as the tabled card
